Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HDFS;Apache Hadoop Committee;big-data;HDFS-3256;4f230adc13c70b09083a928b9dc65fa404e6d177;0;Aaron Myers;2012-04-12 21:28:44;Aaron Myers;2012-04-12 21:28:44;considers:1 blocks:1 replicated:1 topology:1 script:1 configured:1 rack:1 contributed:1 aaron:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestBlockManager.java;hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/blockmanagement/TestBlockManager.java;MODIFY;1;1;27;0;22;301.0;42.0;2427.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3256;4f230adc13c70b09083a928b9dc65fa404e6d177;0;Aaron Myers;2012-04-12 21:28:44;Aaron Myers;2012-04-12 21:28:44;considers:1 blocks:1 replicated:1 topology:1 script:1 configured:1 rack:1 contributed:1 aaron:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestBlocksWithNotEnoughRacks.java;hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/blockmanagement/TestBlocksWithNotEnoughRacks.java;MODIFY;1;1;2;2;10;291.0;15.0;2707.0
HDFS;Apache Hadoop Committee;big-data;HDFS-2799;5a20d446cf2a947b37fd5856a7e1fe6c21547557;0;Eli Collins;2012-04-13 21:31:27;Eli Collins;2012-04-13 21:31:27;trim:1 fs:1 checkpoint:1 values:1 contributed:1 k:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt;MODIFY;0;0;2;0;0;3400.0;0.0;13594.0
HDFS;Apache Hadoop Committee;big-data;HDFS-2799;5a20d446cf2a947b37fd5856a7e1fe6c21547557;0;Eli Collins;2012-04-13 21:31:27;Eli Collins;2012-04-13 21:31:27;trim:1 fs:1 checkpoint:1 values:1 contributed:1 k:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;FSImage.java;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSImage.java;MODIFY;1;0;4;3;47;766.0;154.0;5406.0
HDFS;Apache Hadoop Committee;big-data;HDFS-2799;5a20d446cf2a947b37fd5856a7e1fe6c21547557;0;Eli Collins;2012-04-13 21:31:27;Eli Collins;2012-04-13 21:31:27;trim:1 fs:1 checkpoint:1 values:1 contributed:1 k:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestNameEditsConfigs.java;hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestNameEditsConfigs.java;MODIFY;1;1;42;0;10;406.0;16.0;3252.0
HDFS;Apache Hadoop Committee;big-data;HDFS-2765;d6533cc3219da932844abb0d6ab9b95da4876cf1;0;Aaron Myers;2012-04-13 23:32:17;Aaron Myers;2012-04-13 23:32:17;trunk:2 move:1 changes:1 message:1 instead:1 git:1 id:1 https:1 apache:1 common:1;CHANGES.txt;hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt;MODIFY;0;0;2;2;0;3401.0;0.0;13581.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3268;258da66cc7c74e48fe4224ac8552bf8ce8c68e2c;0;Todd Lipcon;2012-04-16 19:08:29;Todd Lipcon;2012-04-16 19:08:29;mishandles:1 token:1 service:1 incompatible:1 ha:1 contributed:1 sharp:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt;MODIFY;0;0;3;0;0;3407.0;0.0;13616.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3268;258da66cc7c74e48fe4224ac8552bf8ce8c68e2c;0;Todd Lipcon;2012-04-16 19:08:29;Todd Lipcon;2012-04-16 19:08:29;mishandles:1 token:1 service:1 incompatible:1 ha:1 contributed:1 sharp:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;Hdfs.java;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/fs/Hdfs.java;MODIFY;1;0;5;2;35;311.0;56.0;2187.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3268;258da66cc7c74e48fe4224ac8552bf8ce8c68e2c;0;Todd Lipcon;2012-04-16 19:08:29;Todd Lipcon;2012-04-16 19:08:29;mishandles:1 token:1 service:1 incompatible:1 ha:1 contributed:1 sharp:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;DFSClient.java;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSClient.java;MODIFY;1;0;10;0;110;1232.0;220.0;7991.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3268;258da66cc7c74e48fe4224ac8552bf8ce8c68e2c;0;Todd Lipcon;2012-04-16 19:08:29;Todd Lipcon;2012-04-16 19:08:29;mishandles:1 token:1 service:1 incompatible:1 ha:1 contributed:1 sharp:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;DistributedFileSystem.java;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DistributedFileSystem.java;MODIFY;1;0;1;6;73;566.0;107.0;3862.0
