Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6142;fc1bf705e9b14833385ff0fd31a5bc43ba8fd57d;0;Christopher Douglas;2009-07-17 02:06:42;Christopher Douglas;2009-07-17 02:06:42;update:1 documentation:1 use:1 relative:1 paths:1 added:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7189.0;0.0;37078.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6142;fc1bf705e9b14833385ff0fd31a5bc43ba8fd57d;0;Christopher Douglas;2009-07-17 02:06:42;Christopher Douglas;2009-07-17 02:06:42;update:1 documentation:1 use:1 relative:1 paths:1 added:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hadoop;bin/hadoop;MODIFY;0;0;1;1;1;88.0;1.0;382.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6142;fc1bf705e9b14833385ff0fd31a5bc43ba8fd57d;0;Christopher Douglas;2009-07-17 02:06:42;Christopher Douglas;2009-07-17 02:06:42;update:1 documentation:1 use:1 relative:1 paths:1 added:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hadoop_archives.xml;src/docs/src/documentation/content/xdocs/hadoop_archives.xml;MODIFY;0;0;61;24;0;110.0;0.0;1282.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6138;391112f6ce0af7dbc4390b0ac030451dff23c761;0;Tsz-wo Sze;2009-07-17 18:01:15;Tsz-wo Sze;2009-07-17 18:01:15;eliminate:1 warnings:1 introduced:1 h:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7195.0;0.0;37126.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6138;391112f6ce0af7dbc4390b0ac030451dff23c761;0;Tsz-wo Sze;2009-07-17 18:01:15;Tsz-wo Sze;2009-07-17 18:01:15;eliminate:1 warnings:1 introduced:1 h:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;ChecksumFileSystem.java;src/java/org/apache/hadoop/fs/ChecksumFileSystem.java;MODIFY;1;0;3;2;42;359.0;79.0;2454.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6138;391112f6ce0af7dbc4390b0ac030451dff23c761;0;Tsz-wo Sze;2009-07-17 18:01:15;Tsz-wo Sze;2009-07-17 18:01:15;eliminate:1 warnings:1 introduced:1 h:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;FileSystem.java;src/java/org/apache/hadoop/fs/FileSystem.java;MODIFY;1;0;3;2;108;867.0;242.0;6042.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6138;391112f6ce0af7dbc4390b0ac030451dff23c761;0;Tsz-wo Sze;2009-07-17 18:01:15;Tsz-wo Sze;2009-07-17 18:01:15;eliminate:1 warnings:1 introduced:1 h:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;HarFileSystem.java;src/java/org/apache/hadoop/fs/HarFileSystem.java;MODIFY;1;0;2;1;60;557.0;125.0;3863.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-5935;cd86632a702ed23ff2a7a5b4e0e74310e1bb70f4;0;Giridharan Kesavan;2009-07-20 11:37:45;Giridharan Kesavan;2009-07-20 11:37:45;fix:1 warning:1 link:1 test:1 patch:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;test-patch.sh;src/test/bin/test-patch.sh;MODIFY;1;0;1;1;15;660.0;66.0;2618.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6132;53c127013ce1d751f0dac6d1d0f99ea8161f4d2c;0;Raghu Angadi;2009-07-23 22:28:26;Raghu Angadi;2009-07-23 22:28:26;connection:2 client:1 create:1 extra:1 incorrect:1 key:1 cache:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7201.0;0.0;37159.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6132;53c127013ce1d751f0dac6d1d0f99ea8161f4d2c;0;Raghu Angadi;2009-07-23 22:28:26;Raghu Angadi;2009-07-23 22:28:26;connection:2 client:1 create:1 extra:1 incorrect:1 key:1 cache:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;RPC.java;src/java/org/apache/hadoop/ipc/RPC.java;MODIFY;1;0;17;9;37;378.0;73.0;2625.0
